crime_type,date,observed_rate,global_rate,city_fitted_rate
murder,2017-01-01,0,3.171209515728732,1.202243288353643
murder,2017-02-01,0,2.880609077742155,1.0848577689146965
murder,2017-03-01,0,2.8359813564192327,1.0673676712655322
murder,2017-04-01,0,3.0416567368716803,1.1596068862637194
murder,2017-05-01,18.348343297503096,3.27972090728133,1.257988122539502
murder,2017-06-01,0,3.3781217572576634,1.2801478587059159
murder,2017-07-01,0,3.365793537067428,1.262167027716281
murder,2017-08-01,0,3.2471427000209245,1.2248935103462413
murder,2017-09-01,18.348343297503096,3.0244801982882676,1.148597916787558
murder,2017-10-01,0,2.8426827466420295,1.0732459572065705
murder,2017-11-01,0,2.8040055612043253,1.0533369078857533
murder,2017-12-01,0,2.7777867098314304,1.0500254844147894
murder,2018-01-01,0,2.591103142187956,0.9829994297075966
murder,2018-02-01,0,2.3715685756191833,0.893467005383224
murder,2018-03-01,0,2.3532645985763994,0.8856934724908061
murder,2018-04-01,0,2.548883901100547,0.9713194871611218
murder,2018-05-01,0,2.7778070174240885,1.0645030283309598
murder,2018-06-01,0,2.896189800086834,1.095926087044339
murder,2018-07-01,0,2.9231148394910798,1.093942773524477
murder,2018-08-01,0,2.861280211448339,1.0764546351781346
murder,2018-09-01,0,2.707233553089729,1.0246544191564295
murder,2018-10-01,0,2.5863670154132006,0.9724771098702368
murder,2018-11-01,0,2.5975904833390584,0.9710202437918671
murder,2018-12-01,0,2.621450452482281,0.9852639128659418
murder,2019-01-01,0,2.494848024535443,0.9402273126251505
murder,2019-02-01,0,2.3313250370378142,0.8716884142399811
murder,2019-03-01,0,2.357921563977831,0.8800005400584342
murder,2019-04-01,18.348343297503096,2.6088889378306974,0.9848888887685177
murder,2019-05-01,0,2.902148166217336,1.1007118361549515
murder,2019-06-01,0,3.089617735696452,1.1559670542542178
murder,2019-07-01,0,3.180104354712437,1.1756351190309717
murder,2019-08-01,0,3.1738626565197654,1.1784136810260049
murder,2019-09-01,0,3.0584224371806266,1.1413764571391476
murder,2019-10-01,0,2.970143563016942,1.1002248325058235
murder,2019-11-01,0,3.0290642969144757,1.1146157470908729
murder,2019-12-01,0,3.097040883190683,1.1449769405451222
murder,2020-01-01,0,2.981897189088351,1.1046251512219576
murder,2020-02-01,0,2.8136381203113836,1.033429155697404
murder,2020-03-01,0,2.867797378906088,1.0507538151918627
murder,2020-04-01,0,3.1923644800934845,1.1825314749350608
murder,2020-05-01,0,3.565661325072327,1.3263696656552
murder,2020-06-01,0,3.8048044475336837,1.3956106802702797
murder,2020-07-01,0,3.9179105968062027,1.4194766683185753
murder,2020-08-01,0,3.904610222069022,1.4203710664544063
murder,2020-09-01,0,3.7500299248941937,1.3708141028962988
murder,2020-10-01,0,3.6234327961491632,1.3145059327354578
murder,2020-11-01,0,3.6693048580513152,1.3221703925387667
murder,2020-12-01,0,3.720081680242672,1.3466716895953221
murder,2021-01-01,18.348343297503096,3.5454569515768024,1.2860145825078708
murder,2021-02-01,0,3.3072704714399457,1.1894430225303478
murder,2021-03-01,0,3.3312044725108083,1.195260665687431
murder,2021-04-01,0,3.6593172951958928,1.327536481370746
murder,2021-05-01,0,4.032567291623562,1.4692585079014007
murder,2021-06-01,0,4.24177826484364,1.5241475953887869
murder,2021-07-01,0,4.306782046181756,1.5287336093738928
murder,2021-08-01,0,4.230097443221498,1.5077942158630349
murder,2021-09-01,0,4.004693943083575,1.4346399368932043
murder,2021-10-01,0,3.8175887682214835,1.357433983439027
murder,2021-11-01,0,3.81455276398149,1.347376443063492
murder,2021-12-01,0,3.819870407588878,1.3556484885084994
murder,2022-01-01,0,3.5966033298618836,1.279084318415683
murder,2022-02-01,0,3.316539822621219,1.169581271458281
murder,2022-03-01,0,3.307723850709402,1.1638359292077611
murder,2022-04-01,0,3.5961598590057737,1.2794240468022566
murder,2022-05-01,18.348343297503096,3.925855915031641,1.4028199399355106
murder,2022-06-01,0,4.0920877498143025,1.4420895031479188
murder,2022-07-01,0,4.120783058037924,1.4346249496868444
