crime_type,date,observed_rate,global_rate,city_fitted_rate
murder,2017-01-01,6.2072925341789045,3.171209515728732,1.87642825714741
murder,2017-02-01,0,2.880609077742155,1.6919143366059102
murder,2017-03-01,6.2072925341789045,2.8359813564192327,1.6466731505600873
murder,2017-04-01,0,3.0416567368716803,1.7571534036998182
murder,2017-05-01,6.2072925341789045,3.27972090728133,1.8943923457550347
murder,2017-06-01,6.2072925341789045,3.3781217572576634,1.9343500385610435
murder,2017-07-01,0,3.365793537067428,1.8988856229056441
murder,2017-08-01,0,3.2471427000209245,1.8167908224742801
murder,2017-09-01,6.2072925341789045,3.0244801982882676,1.6880262965860613
murder,2017-10-01,0,2.8426827466420295,1.5732012286361903
murder,2017-11-01,0,2.8040055612043253,1.531550805441674
murder,2017-12-01,0,2.7777867098314304,1.5095506333679216
murder,2018-01-01,0,2.591103142187956,1.4092398520995348
murder,2018-02-01,0,2.3715685756191833,1.2828501070598832
murder,2018-03-01,0,2.3532645985763994,1.260974223603668
murder,2018-04-01,6.2072925341789045,2.548883901100547,1.3623481638064274
murder,2018-05-01,6.2072925341789045,2.7778070174240885,1.488580407076896
murder,2018-06-01,0,2.896189800086834,1.5434548499081169
murder,2018-07-01,0,2.9231148394910798,1.5399877843798322
murder,2018-08-01,0,2.861280211448339,1.5005717218064485
murder,2018-09-01,0,2.707233553089729,1.4220448728778778
murder,2018-10-01,0,2.5863670154132006,1.3528250278923903
murder,2018-11-01,0,2.5975904833390584,1.347249105216475
murder,2018-12-01,0,2.621450452482281,1.359262015195517
murder,2019-01-01,0,2.494848024535443,1.3014535315328122
murder,2019-02-01,0,2.3313250370378142,1.2161774281286686
murder,2019-03-01,0,2.357921563977831,1.2246951443262852
murder,2019-04-01,0,2.6088889378306974,1.3594482589865937
murder,2019-05-01,0,2.902148166217336,1.5248502621678401
murder,2019-06-01,0,3.089617735696452,1.6240030699278447
murder,2019-07-01,0,3.180104354712437,1.6620037950885305
murder,2019-08-01,0,3.1738626565197654,1.6610525009313293
murder,2019-09-01,0,3.0584224371806266,1.6126405823598986
murder,2019-10-01,0,2.970143563016942,1.5682344471849619
murder,2019-11-01,0,3.0290642969144757,1.5948414796948926
murder,2019-12-01,0,3.097040883190683,1.6388455760549456
murder,2020-01-01,6.2072925341789045,2.981897189088351,1.5958892073419115
murder,2020-02-01,0,2.8136381203113836,1.5135754998372482
murder,2020-03-01,0,2.867797378906088,1.5431049127300909
murder,2020-04-01,0,3.1923644800934845,1.7315572247702409
murder,2020-05-01,0,3.565661325072327,1.9588045576988897
murder,2020-06-01,0,3.8048044475336837,2.100242882905258
murder,2020-07-01,12.414585068357809,3.9179105968062027,2.1591070487220696
murder,2020-08-01,0,3.904610222069022,2.1634973235229817
murder,2020-09-01,0,3.7500299248941937,2.1015165095434156
murder,2020-10-01,12.414585068357809,3.6234327961491632,2.0405917584792483
murder,2020-11-01,6.2072925341789045,3.6693048580513152,2.0678130761293647
murder,2020-12-01,6.2072925341789045,3.720081680242672,2.113714785700499
murder,2021-01-01,0,3.5454569515768024,2.0437279952247405
murder,2021-02-01,0,3.3072704714399457,1.9216897292210622
murder,2021-03-01,0,3.3312044725108083,1.940336369498654
murder,2021-04-01,0,3.6593172951958928,2.1536424993775296
murder,2021-05-01,0,4.032567291623562,2.408538603250967
murder,2021-06-01,0,4.24177826484364,2.5502366603826063
murder,2021-07-01,0,4.306782046181756,2.5887386722615275
murder,2021-08-01,12.414585068357809,4.230097443221498,2.559442617510214
murder,2021-09-01,0,4.004693943083575,2.452645426892201
murder,2021-10-01,0,3.8175887682214835,2.350622498172852
murder,2021-11-01,0,3.81455276398149,2.3505299272361584
murder,2021-12-01,0,3.819870407588878,2.3725588776181934
murder,2022-01-01,0,3.5966033298618836,2.2648142237948297
murder,2022-02-01,0,3.316539822621219,2.102998337249279
murder,2022-03-01,0,3.307723850709402,2.0999011938933028
murder,2022-04-01,0,3.5961598590057737,2.302744810007024
murder,2022-05-01,6.2072925341789045,3.925855915031641,2.545937129213999
murder,2022-06-01,0,4.0920877498143025,2.6646246466672943
murder,2022-07-01,6.2072925341789045,4.120783058037924,2.6752843698873083
murder,2022-08-01,0,4.015639716820332,2.6157712279693235
murder,2022-09-01,0,3.7741765839720838,2.4795281469627732
murder,2022-10-01,6.2072925341789045,3.5747613863727006,2.352072474305305
murder,2022-11-01,0,3.5502567524341813,2.327655738397244
murder,2022-12-01,6.2072925341789045,3.5361199228316678,2.3264467222932117
murder,2023-01-01,0,3.312537114965958,2.1987689659943297
murder,2023-02-01,12.414585068357809,3.040404568813181,2.0218244209615155
murder,2023-03-01,12.414585068357809,3.0205998214435534,2.0014349683664245
murder,2023-04-01,0,3.2710010902039395,2.17418357222719
