crime_type,date,observed_rate,global_rate,city_fitted_rate
murder,2017-01-01,7.25088672302217,3.171209515728732,8.297029646850559
murder,2017-02-01,10.876330084533254,2.880609077742155,7.472316825672054
murder,2017-03-01,0,2.8359813564192327,7.342735816386402
murder,2017-04-01,0,3.0416567368716803,8.01103293712491
murder,2017-05-01,14.50177344604434,3.27972090728133,8.660514760221348
murder,2017-06-01,0,3.3781217572576634,8.772797426800409
murder,2017-07-01,14.50177344604434,3.365793537067428,8.819015056851775
murder,2017-08-01,14.50177344604434,3.2471427000209245,8.88030519590172
murder,2017-09-01,21.75266016906651,3.0244801982882676,8.440995002338141
murder,2017-10-01,18.127216807555424,2.8426827466420295,7.718407187066773
murder,2017-11-01,0,2.8040055612043253,7.414742617338905
murder,2017-12-01,3.625443361511085,2.7777867098314304,7.407422190639434
murder,2018-01-01,3.625443361511085,2.591103142187956,6.991769615052102
murder,2018-02-01,21.75266016906651,2.3715685756191833,6.344880204650723
murder,2018-03-01,7.25088672302217,2.3532645985763994,6.284267248395152
murder,2018-04-01,10.876330084533254,2.548883901100547,6.924261576159448
murder,2018-05-01,7.25088672302217,2.7778070174240885,7.5660815472895315
murder,2018-06-01,10.876330084533254,2.896189800086834,7.75838630040519
murder,2018-07-01,10.876330084533254,2.9231148394910798,7.900975154978884
murder,2018-08-01,0,2.861280211448339,8.07257894195014
murder,2018-09-01,3.625443361511085,2.707233553089729,7.7950531990078735
murder,2018-10-01,0,2.5863670154132006,7.245460070731328
murder,2018-11-01,3.625443361511085,2.5975904833390584,7.087502407538864
murder,2018-12-01,3.625443361511085,2.621450452482281,7.213467370517025
murder,2019-01-01,10.876330084533254,2.494848024535443,6.947161168933996
murder,2019-02-01,0,2.3313250370378142,6.43679446958143
murder,2019-03-01,10.876330084533254,2.357921563977831,6.498260423301916
murder,2019-04-01,14.50177344604434,2.6088889378306974,7.3139239892133725
murder,2019-05-01,0,2.902148166217336,8.156904743628008
murder,2019-06-01,0,3.089617735696452,8.539291924745308
murder,2019-07-01,7.25088672302217,3.180104354712437,8.866545826991716
murder,2019-08-01,3.625443361511085,3.1738626565197654,9.233834925605183
murder,2019-09-01,10.876330084533254,3.0584224371806266,9.077207907239293
murder,2019-10-01,14.50177344604434,2.970143563016942,8.572207691592414
murder,2019-11-01,18.127216807555424,3.0290642969144757,8.50916733648574
murder,2019-12-01,18.127216807555424,3.097040883190683,8.76748048905906
murder,2020-01-01,7.25088672302217,2.981897189088351,8.534552243453318
murder,2020-02-01,10.876330084533254,2.8136381203113836,7.976257680331647
murder,2020-03-01,7.25088672302217,2.867797378906088,8.10647432367255
murder,2020-04-01,3.625443361511085,3.1923644800934845,9.1673863992631
murder,2020-05-01,7.25088672302217,3.565661325072327,10.251038129351626
murder,2020-06-01,10.876330084533254,3.8048044475336837,10.739285683011405
murder,2020-07-01,14.50177344604434,3.9179105968062027,11.136857927536244
murder,2020-08-01,18.127216807555424,3.904610222069022,11.559851327217814
murder,2020-09-01,3.625443361511085,3.7500299248941937,11.30304575087815
murder,2020-10-01,7.25088672302217,3.6234327961491632,10.598335800094718
murder,2020-11-01,14.50177344604434,3.6693048580513152,10.422523811009368
murder,2020-12-01,7.25088672302217,3.720081680242672,10.623846581137718
murder,2021-01-01,21.75266016906651,3.5454569515768024,10.211188099587838
murder,2021-02-01,3.625443361511085,3.3072704714399457,9.410140067806001
murder,2021-03-01,7.25088672302217,3.3312044725108083,9.428131007089432
murder,2021-04-01,14.50177344604434,3.6593172951958928,10.49330752295172
murder,2021-05-01,3.625443361511085,4.032567291623562,11.546614073412492
murder,2021-06-01,14.50177344604434,4.24177826484364,11.892206672337382
murder,2021-07-01,7.25088672302217,4.306782046181756,12.128368626373264
murder,2021-08-01,14.50177344604434,4.230097443221498,12.374076882181534
murder,2021-09-01,3.625443361511085,4.004693943083575,11.895629264773437
murder,2021-10-01,14.50177344604434,3.8175887682214835,10.977404250066849
murder,2021-11-01,14.50177344604434,3.81455276398149,10.625847843749286
murder,2021-12-01,10.876330084533254,3.819870407588878,10.673787331057186
murder,2022-01-01,7.25088672302217,3.5966033298618836,10.112367397877613
murder,2022-02-01,7.25088672302217,3.316539822621219,9.192275025664102
murder,2022-03-01,10.876330084533254,3.307723850709402,9.102183658855765
murder,2022-04-01,10.876330084533254,3.5961598590057737,10.00630709011718
murder,2022-05-01,39.87987697662193,3.925855915031641,10.887447539032427
murder,2022-06-01,7.25088672302217,4.0920877498143025,11.091401075113554
murder,2022-07-01,10.876330084533254,4.120783058037924,11.20025016162707
murder,2022-08-01,14.50177344604434,4.015639716820332,11.318836321449995
murder,2022-09-01,14.50177344604434,3.7741765839720838,10.785755223075853
murder,2022-10-01,7.25088672302217,3.5747613863727006,9.87535511119454
murder,2022-11-01,10.876330084533254,3.5502567524341813,9.488056061727251
murder,2022-12-01,7.25088672302217,3.5361199228316678,9.46786115462296
murder,2023-01-01,0,3.312537114965958,8.913564840355425
murder,2023-02-01,7.25088672302217,3.040404568813181,8.055835243576766
murder,2023-03-01,3.625443361511085,3.0205998214435534,7.93851251784277
murder,2023-04-01,10.876330084533254,3.2710010902039395,8.684029989866847
murder,2023-05-01,14.50177344604434,3.5582006889412123,9.4069540124984
murder,2023-06-01,0,3.696140587180321,9.542375759889598
murder,2023-07-01,14.50177344604434,3.7103980129157756,9.598772540329488
murder,2023-08-01,7.25088672302217,3.604550187188284,9.663728896663274
murder,2023-09-01,21.75266016906651,3.3776773052748137,9.175322673881777
murder,2023-10-01,3.625443361511085,3.1901404554724166,8.372477256590056
murder,2023-11-01,0,3.1591540133384215,8.01696548036117
murder,2023-12-01,3.625443361511085,3.137968252168883,7.974655823162277
murder,2024-01-01,0,2.9314045815364156,7.484159045545628
murder,2024-02-01,3.625443361511085,2.6832601825240836,6.743486175973079
murder,2024-03-01,3.625443361511085,2.658311303289773,6.624198386012821
murder,2024-04-01,7.25088672302217,2.8711156836040295,7.225902989190329
