crime_type,date,observed_rate,global_rate,city_fitted_rate
murder,2017-01-01,9.828110443391108,3.171209515728732,5.685224523022259
murder,2017-02-01,0,2.880609077742155,5.064254297880975
murder,2017-03-01,7.371082832543331,2.8359813564192327,4.989561462500881
murder,2017-04-01,7.371082832543331,3.0416567368716803,5.357335581916758
murder,2017-05-01,7.371082832543331,3.27972090728133,5.882644195414989
murder,2017-06-01,4.914055221695554,3.3781217572576634,6.288620569547424
murder,2017-07-01,4.914055221695554,3.365793537067428,6.322232083947256
murder,2017-08-01,2.457027610847777,3.2471427000209245,5.867854668804021
murder,2017-09-01,7.371082832543331,3.0244801982882676,5.308131536976175
murder,2017-10-01,4.914055221695554,2.8426827466420295,5.104982706052324
murder,2017-11-01,4.914055221695554,2.8040055612043253,5.185583990280693
murder,2017-12-01,12.285138054238885,2.7777867098314304,5.0418674948270645
murder,2018-01-01,4.914055221695554,2.591103142187956,4.506301382304349
murder,2018-02-01,7.371082832543331,2.3715685756191833,4.050967790389486
murder,2018-03-01,4.914055221695554,2.3532645985763994,4.029270801130118
murder,2018-04-01,4.914055221695554,2.548883901100547,4.377910382659177
murder,2018-05-01,0,2.7778070174240885,4.869341177569124
murder,2018-06-01,12.285138054238885,2.896189800086834,5.282387397914146
murder,2018-07-01,9.828110443391108,2.9231148394910798,5.3939721852879
murder,2018-08-01,7.371082832543331,2.861280211448339,5.094693976763576
murder,2018-09-01,2.457027610847777,2.707233553089729,4.696805678688107
murder,2018-10-01,0,2.5863670154132006,4.606849887708978
murder,2018-11-01,0,2.5975904833390584,4.782477681715762
murder,2018-12-01,0,2.621450452482281,4.755072926755873
murder,2019-01-01,2.457027610847777,2.494848024535443,4.3540164013383755
murder,2019-02-01,4.914055221695554,2.3313250370378142,4.0129586142727245
murder,2019-03-01,0,2.357921563977831,4.083971030662371
murder,2019-04-01,2.457027610847777,2.6088889378306974,4.551811078467841
murder,2019-05-01,2.457027610847777,2.902148166217336,5.188030839026514
murder,2019-06-01,9.828110443391108,3.089617735696452,5.768936671213094
