crime_type,date,observed_rate,global_rate,city_fitted_rate
murder,2017-01-01,0,3.171209515728732,5.363503994278238
murder,2017-02-01,0,2.880609077742155,4.924402171649994
murder,2017-03-01,7.356051271677364,2.8359813564192327,5.025094655787104
murder,2017-04-01,7.356051271677364,3.0416567368716803,5.570122291832132
murder,2017-05-01,3.678025635838682,3.27972090728133,5.964194412074095
murder,2017-06-01,7.356051271677364,3.3781217572576634,6.068712273746903
murder,2017-07-01,22.06815381503209,3.365793537067428,6.215935544089079
murder,2017-08-01,3.678025635838682,3.2471427000209245,6.218188161390051
murder,2017-09-01,11.034076907516045,3.0244801982882676,5.734568984866247
murder,2017-10-01,3.678025635838682,2.8426827466420295,5.203345930988356
murder,2017-11-01,3.678025635838682,2.8040055612043253,5.1086798263393405
murder,2017-12-01,7.356051271677364,2.7777867098314304,5.160602786047294
murder,2018-01-01,3.678025635838682,2.591103142187956,4.84815393787018
murder,2018-02-01,0,2.3715685756191833,4.466392273333108
murder,2018-03-01,3.678025635838682,2.3532645985763994,4.573818682515384
murder,2018-04-01,7.356051271677364,2.548883901100547,5.0923085097992304
murder,2018-05-01,11.034076907516045,2.7778070174240885,5.4786710350142425
murder,2018-06-01,11.034076907516045,2.896189800086834,5.605183552858746
murder,2018-07-01,11.034076907516045,2.9231148394910798,5.774483860425832
murder,2018-08-01,18.39012817919341,2.861280211448339,5.814267107480907
murder,2018-09-01,11.034076907516045,2.707233553089729,5.3999204870637465
murder,2018-10-01,0,2.5863670154132006,4.935670396975173
murder,2018-11-01,0,2.5975904833390584,4.885198388212611
murder,2018-12-01,3.678025635838682,2.621450452482281,4.976026007506212
murder,2019-01-01,0,2.494848024535443,4.716970155722247
murder,2019-02-01,0,2.3313250370378142,4.386047713817923
murder,2019-03-01,3.678025635838682,2.357921563977831,4.529999472794974
murder,2019-04-01,0,2.6088889378306974,5.091591106916996
murder,2019-05-01,3.678025635838682,2.902148166217336,5.528049743199686
murder,2019-06-01,3.678025635838682,3.089617735696452,5.708135890629834
murder,2019-07-01,11.034076907516045,3.180104354712437,5.931527857765087
murder,2019-08-01,7.356051271677364,3.1738626565197654,6.023322547023634
murder,2019-09-01,0,3.0584224371806266,5.6386333225220655
murder,2019-10-01,0,2.970143563016942,5.190215856935573
murder,2019-11-01,3.678025635838682,3.0290642969144757,5.170503980700189
murder,2019-12-01,0,3.097040883190683,5.295171040344423
murder,2020-01-01,3.678025635838682,2.981897189088351,5.043011226439111
murder,2020-02-01,11.034076907516045,2.8136381203113836,4.706820948093475
murder,2020-03-01,25.746179450870773,2.867797378906088,4.874930712313759
murder,2020-04-01,3.678025635838682,3.1923644800934845,5.490124493981558
murder,2020-05-01,11.034076907516045,3.565661325072327,5.9668834990569755
murder,2020-06-01,3.678025635838682,3.8048044475336837,6.16219205229222
murder,2020-07-01,3.678025635838682,3.9179105968062027,6.398629365220567
murder,2020-08-01,11.034076907516045,3.904610222069022,6.4867735243561855
murder,2020-09-01,3.678025635838682,3.7500299248941937,6.056694628058073
murder,2020-10-01,3.678025635838682,3.6234327961491632,5.556088871849389
murder,2020-11-01,3.678025635838682,3.6693048580513152,5.510629175788017
murder,2020-12-01,3.678025635838682,3.720081680242672,5.615113133466469
murder,2021-01-01,7.356051271677364,3.5454569515768024,5.316276450159732
murder,2021-02-01,0,3.3072704714399457,4.929823985891299
murder,2021-03-01,11.034076907516045,3.3312044725108083,5.072987214203734
murder,2021-04-01,0,3.6593172951958928,5.671865724413112
murder,2021-05-01,0,4.032567291623562,6.119850538955009
murder,2021-06-01,7.356051271677364,4.24177826484364,6.272176262741643
murder,2021-07-01,3.678025635838682,4.306782046181756,6.464883020412265
murder,2021-08-01,0,4.230097443221498,6.504730722283974
murder,2021-09-01,7.356051271677364,4.004693943083575,6.0291628595403735
murder,2021-10-01,7.356051271677364,3.8175887682214835,5.493521574217446
murder,2021-11-01,7.356051271677364,3.81455276398149,5.41286905129248
murder,2021-12-01,7.356051271677364,3.819870407588878,5.482842228247851
murder,2022-01-01,7.356051271677364,3.5966033298618836,5.161548070783039
murder,2022-02-01,7.356051271677364,3.316539822621219,4.761265315980482
murder,2022-03-01,0,3.307723850709402,4.8782076493578135
murder,2022-04-01,0,3.5961598590057737,5.430115223883291
murder,2022-05-01,11.034076907516045,3.925855915031641,5.836551815521305
murder,2022-06-01,0,4.0920877498143025,5.960749486628501
murder,2022-07-01,3.678025635838682,4.120783058037924,6.125533734621095
murder,2022-08-01,11.034076907516045,4.015639716820332,6.146956978565672
murder,2022-09-01,14.712102543354728,3.7741765839720838,5.684978295245191
murder,2022-10-01,3.678025635838682,3.5747613863727006,5.171003575632724
murder,2022-11-01,3.678025635838682,3.5502567524341813,5.087974648540461
murder,2022-12-01,0,3.5361199228316678,5.148415234725809
murder,2023-01-01,7.356051271677364,3.312537114965958,4.842847584440786
murder,2023-02-01,0,3.040404568813181,4.464686302910929
murder,2023-03-01,0,3.0205998214435534,4.572583005671661
murder,2023-04-01,7.356051271677364,3.2710010902039395,5.088258783415493
murder,2023-05-01,7.356051271677364,3.5582006889412123,5.467654376038947
murder,2023-06-01,11.034076907516045,3.696140587180321,5.582436358677637
murder,2023-07-01,0,3.7103980129157756,5.734865069832671
murder,2023-08-01,0,3.604550187188284,5.752279519794078
murder,2023-09-01,14.712102543354728,3.3776773052748137,5.316581691081628
murder,2023-10-01,3.678025635838682,3.1901404554724166,4.831906141724843
murder,2023-11-01,3.678025635838682,3.1591540133384215,4.749156633779046
murder,2023-12-01,11.034076907516045,3.137968252168883,4.7994492943171005
murder,2024-01-01,3.678025635838682,2.9314045815364156,4.507610527125813
murder,2024-02-01,0,2.6832601825240836,4.148227397617618
murder,2024-03-01,0,2.658311303289773,4.239737879169089
murder,2024-04-01,11.034076907516045,2.8711156836040295,4.707331218102093
murder,2024-05-01,7.356051271677364,3.1154198018633648,5.046252875768491
murder,2024-06-01,0,3.2280277680890683,5.13829672654099
murder,2024-07-01,0,3.2327284897396353,5.26364703211772
murder,2024-08-01,3.678025635838682,3.1329086500766032,5.262962478849912
murder,2024-09-01,7.356051271677364,2.928775019593041,4.847862300724369
murder,2024-10-01,0,2.759977061178789,4.390659683007162
murder,2024-11-01,3.678025635838682,2.727015728727282,4.29935222123011
murder,2024-12-01,3.678025635838682,2.7029907764542576,4.3286772061684795
murder,2025-01-01,7.356051271677364,2.519701611645778,4.049462709525024
murder,2025-02-01,0,2.301677052019351,3.7117668715986496
murder,2025-03-01,11.034076907516045,2.2770855695541283,3.780908735151346
murder,2025-04-01,11.034076907516045,2.4547004427309775,4.181296466775856
murder,2025-05-01,3.678025635838682,2.658882275086959,4.465463661051215
murder,2025-06-01,3.678025635838682,2.7502075885730126,4.529677708517753
murder,2025-07-01,7.356051271677364,2.7498198500560838,4.623773648509545
murder,2025-08-01,3.678025635838682,2.6607618404568214,4.607087535397322
murder,2025-09-01,3.678025635838682,2.4837568453485597,4.229837720488892
murder,2025-10-01,3.678025635838682,2.337510817676606,3.819579006958322
murder,2025-11-01,0,2.306656193563219,3.7294970035838877
murder,2025-12-01,0,2.283728646558559,3.745355697813521
murder,2026-01-01,3.678025635838682,2.1265635932326514,3.495272496138499
murder,2026-02-01,0,1.9406391038210493,3.1967136272308556
murder,2026-03-01,7.356051271677364,1.9183520845943798,3.250364806777107
murder,2026-04-01,0,2.066322897924653,3.5880999928281017
murder,2026-05-01,7.356051271677364,2.236663194292975,3.82606363880578
murder,2026-06-01,3.678025635838682,2.3120644649847906,3.8757418327805206
rape,2017-01-01,110.34076907516047,32.72894020633774,65.90194766320516
rape,2017-02-01,58.84841017341891,33.00393441298081,62.73897868446694
rape,2017-03-01,62.52643580925759,32.98907270605803,58.97822738088786
rape,2017-04-01,55.17038453758023,34.35968503598456,61.58805957145032
rape,2017-05-01,73.56051271677364,36.12056481328109,67.91139954792294
rape,2017-06-01,84.59458962428968,36.31983039554855,69.73675075854243
rape,2017-07-01,106.66274343932179,35.95384035349688,67.84274154151234
rape,2017-08-01,77.23853835261232,36.62386399988054,67.87590106345505
rape,2017-09-01,47.81433326590287,36.7603756112813,67.4054980261192
rape,2017-10-01,80.916563988451,34.554940595519945,62.244591249088465
rape,2017-11-01,51.49235890174155,32.14317813990759,57.41844563937831
rape,2017-12-01,47.81433326590287,31.99398372522833,58.040679670574576
rape,2018-01-01,88.27261526012836,33.14091574619296,59.883790807157006
rape,2018-02-01,77.23853835261232,33.39204242805815,56.89433044658372
rape,2018-03-01,47.81433326590287,33.348680473390566,53.37163532914425
rape,2018-04-01,33.102230722548136,34.697369675213146,55.587095440663276
rape,2018-05-01,73.56051271677364,36.4336478635142,61.120187123778194
rape,2018-06-01,73.56051271677364,36.58653789765865,62.55923536763009
rape,2018-07-01,44.13630763006418,36.167426969343154,60.65060981953809
rape,2018-08-01,58.84841017341891,36.78378456965691,60.445521870727845
rape,2018-09-01,44.13630763006418,36.85840037009914,59.775454202296004
rape,2018-10-01,73.56051271677364,34.58611317283387,54.958601214733775
rape,2018-11-01,58.84841017341891,32.10962673211691,50.45374404550593
rape,2018-12-01,29.424205086709456,31.896755148035155,50.74862515476851
rape,2019-01-01,47.81433326590287,32.96912350387606,52.080784312627024
rape,2019-02-01,36.78025635838682,33.14583557027723,49.209008401325214
rape,2019-03-01,47.81433326590287,33.036659698731526,45.92984460925025
rape,2019-04-01,33.102230722548136,34.297599395990474,47.56985200748163
rape,2019-05-01,55.17038453758023,35.93992702829933,52.02656733719854
rape,2019-06-01,73.56051271677364,36.01788307523172,52.96672163492738
rape,2019-07-01,73.56051271677364,35.54058023678727,51.09628934409521
rape,2019-08-01,33.102230722548136,36.08487511994014,50.67838130285578
rape,2019-09-01,47.81433326590287,36.104699864815906,49.89492641193716
rape,2019-10-01,62.52643580925759,33.838910618479225,45.698424796787826
rape,2019-11-01,25.746179450870773,31.386926578297913,41.809148884500125
rape,2019-12-01,36.78025635838682,31.160893741378427,41.93903632688414
rape,2020-01-01,51.49235890174155,32.20014398027216,42.945580707890144
rape,2020-02-01,29.424205086709456,32.375333018377034,40.51412700413528
rape,2020-03-01,29.424205086709456,32.279073428260034,37.761643823178744
rape,2020-04-01,33.102230722548136,33.5357624712693,39.09625172562731
rape,2020-05-01,22.06815381503209,35.178072845197846,42.77036617713888
rape,2020-06-01,44.13630763006418,35.30403119004231,43.582248611477326
rape,2020-07-01,47.81433326590287,34.89501040060588,42.105021071754535
rape,2020-08-01,25.746179450870773,35.50316159698527,41.8501773498809
rape,2020-09-01,58.84841017341891,35.60875779692838,41.317696646054394
rape,2020-10-01,25.746179450870773,33.463238092627016,37.96723494852103
rape,2020-11-01,44.13630763006418,31.134250628531245,34.875549243332266
rape,2020-12-01,47.81433326590287,31.010412135989114,35.13917142286048
rape,2021-01-01,55.17038453758023,32.15868703871743,36.16585934999795
rape,2021-02-01,22.06815381503209,32.45319904941378,34.3076749116618
rape,2021-03-01,25.746179450870773,32.46815740224269,32.16501628799228
rape,2021-04-01,47.81433326590287,33.859150679959164,33.50982569608039
rape,2021-05-01,22.06815381503209,35.64455984784677,36.89030527283431
rape,2021-06-01,44.13630763006418,35.90008563631894,37.84387650035932
rape,2021-07-01,40.4582819942255,35.60027842954671,36.805144443792464
rape,2021-08-01,36.78025635838682,36.333771071945634,36.83832024093539
rape,2021-09-01,51.49235890174155,36.54345274568549,36.62555119842987
rape,2021-10-01,33.102230722548136,34.42118504188213,33.88413594502052
rape,2021-11-01,40.4582819942255,32.08781438874453,31.34127745165861
rape,2021-12-01,62.52643580925759,32.00611208813238,31.788221271706615
rape,2022-01-01,29.424205086709456,33.22528698348096,32.939369646049656
rape,2022-02-01,7.356051271677364,33.54828660877175,31.456880161987396
rape,2022-03-01,18.39012817919341,33.5672087495138,29.669178218927854
rape,2022-04-01,11.034076907516045,34.99373743162264,31.11268542835233
rape,2022-05-01,22.06815381503209,36.81085190412012,34.46650714111233
rape,2022-06-01,29.424205086709456,37.028491123039046,35.58423578759676
rape,2022-07-01,55.17038453758023,36.658642592452324,34.81975614740161
rape,2022-08-01,29.424205086709456,37.3329747917555,35.0693275880138
rape,2022-09-01,29.424205086709456,37.449686371454774,35.08232604773096
rape,2022-10-01,33.102230722548136,35.169724933523256,32.64803740549378
rape,2022-11-01,29.424205086709456,32.67168068258003,30.379165149734597
rape,2022-12-01,22.06815381503209,32.46825702444867,30.987650023491295
rape,2023-01-01,36.78025635838682,33.56723222032695,32.293857121737986
rape,2023-02-01,18.39012817919341,33.747560273440875,31.011879354177157
rape,2023-03-01,14.712102543354728,33.630591446906024,29.39139663553697
rape,2023-04-01,25.746179450870773,34.90023257544304,30.98060814605568
rape,2023-05-01,44.13630763006418,36.549425546758165,34.48387215352598
rape,2023-06-01,44.13630763006418,36.59763180578236,35.76835791437693
rape,2023-07-01,55.17038453758023,36.07487387157239,35.14842758938861
rape,2023-08-01,47.81433326590287,36.579040837945335,35.544727424239376
rape,2023-09-01,25.746179450870773,36.541795553585736,35.69100674986203
