city_id,city_name,city_state,state,latitude,longitude,population
NY0140100,Buffalo,"Buffalo,NY",NY,42.8864163,-78.8781493,276384
NC0110000,Buncombe,"Buncombe,NC",NC,,,162165
CA0191200,Burbank,"Burbank,CA",CA,34.1812089,-118.307201,102684
TX1260200,Burleson,"Burleson,TX",TX,30.4764878,-96.6353488,47697
NC0010100,Burlington,"Burlington,NC",NC,36.0956918,-79.4377991,59483
VT0040100,Burlington,"Burlington,VT",VT,44.4761601,-73.212906,44354
MN0190100,Burnsville,"Burnsville,MN",MN,44.7670567,-93.2773887,64952
ID0140100,Caldwell,"Caldwell,ID",ID,43.6678736,-116.689415,76553
CA0560100,Camarillo,"Camarillo,CA",CA,34.2176371,-119.0383541,69673
MA0091100,Cambridge,"Cambridge,MA",MA,42.3656347,-71.1040018,121634
TX0310000,Cameron,"Cameron,TX",TX,,,95770
OH0760400,Canton,"Canton,OH",OH,40.7985464,-81.3749508,68866
MI8290800,Canton Township,"Canton Township,MI",MI,42.3076547,-83.4868961,100042
CA0370100,Carlsbad,"Carlsbad,CA",CA,33.1580933,-117.3505966,113239
IN0290100,Carmel,"Carmel,IN",IN,39.9784186,-86.1283681,104553
TX0570400,Carrollton,"Carrollton,TX",TX,32.9515472,-96.9034244,83979
NC0920300,Cary,"Cary,NC",NC,35.7882893,-78.7812081,180581
AZ0110100,Casa Grande,"Casa Grande,AZ",AZ,32.8772834,-111.7536818,73225
CO0180100,Castle Rock,"Castle Rock,CO",CO,39.3722552,-104.858682,85729
TX2460900,Cedar Park,"Cedar Park,TX",TX,30.5217116,-97.827833,71892
IA0570100,Cedar Rapids,"Cedar Rapids,IA",IA,41.9758872,-91.6704053,137918
CO0031100,Centennial,"Centennial,CO",CO,39.579155,-104.8769227,109020
IL0100100,Champaign,"Champaign,IL",IL,40.1164841,-88.2430932,92875
AZ0070500,Chandler,"Chandler,AZ",AZ,33.3062031,-111.841185,282191
NC0680100,Chapel Hill,"Chapel Hill,NC",NC,35.9131542,-79.05578,62990
SC0100100,Charleston,"Charleston,SC",SC,32.7884363,-79.9399309,142716
NC0600100,Charlotte,"Charlotte,NC",NC,35.2272086,-80.8430827,1035037
TN0330100,Chattanooga,"Chattanooga,TN",TN,35.0457219,-85.3094883,193881
NJ0041200,Cherry Hill Township,"Cherry Hill Township,NJ",NJ,39.9348351,-75.0307264,80020
VA1030000,Chesapeake,"Chesapeake,VA",VA,36.7168315,-76.2494453,257012
VA0210100,Chesterfield,"Chesterfield,VA",VA,,,397206
WY0110100,Cheyenne,"Cheyenne,WY",WY,41.139981,-104.820246,65811
ILCPD0000,Chicago,"Chicago,IL",IL,41.8755616,-87.6244212,2715488
CA0040200,Chico,"Chico,CA",CA,39.7284945,-121.8374777,102829
MA0070500,Chicopee,"Chicopee,MA",MA,42.1487691,-72.6071119,55222
CA0360200,Chino,"Chino,CA",CA,34.0133561,-117.690075,94769
CA0370200,Chula Vista,"Chula Vista,CA",CA,32.6400541,-117.084195,279237
IL0162100,Cicero,"Cicero,IL",IL,41.8455398,-87.7540199,81401
OHCIP0000,Cincinnati,"Cincinnati,OH",OH,39.1012809,-84.5127405,316260
CA0349600,Citrus Heights,"Citrus Heights,CA",CA,38.7071247,-121.2810611,86751
OR0030000,Clackamas,"Clackamas,OR",OR,,,245076
TN0630100,Clarksville,"Clarksville,TN",TN,36.5277607,-87.3588703,190532
OHCLP0000,Cleveland,"Cleveland,OH",OH,41.4996574,-81.6936772,363659
NJ0160200,Clifton,"Clifton,NJ",NJ,40.8584328,-74.1637553,90406
MI5084900,Clinton Township,"Clinton Township,MI",MI,42.5869782,-82.9200047,101593
CA0100100,Clovis,"Clovis,CA",CA,36.8252277,-119.7029194,129862
ID0280100,Coeur D Alene,"Coeur D Alene,ID",ID,47.6742994,-116.7811531,57973
OH0314200,Colerain Township,"Colerain Township,OH",OH,39.2584995,-84.6329262,59366
TX0210200,College Station,"College Station,TX",TX,30.6183939,-96.3455991,129902
TN0790100,Collierville,"Collierville,TN",TN,35.042036,-89.6645266,52107
TX0430000,Collin,"Collin,TX",TX,,,95732
NY0015300,Colonie Town,"Colonie Town,NY",NY,42.7433327,-73.7966596,82328
CO0210100,Colorado Springs,"Colorado Springs,CO",CO,38.8339578,-104.825348,496560
MO0100200,Columbia,"Columbia,MO",MO,38.951883,-92.3337366,132072
OHCOP0000,Columbus,"Columbus,OH",OH,39.9622601,-83.0007065,912232
TX0460000,Comal,"Comal,TX",TX,,,99619
CO0010300,Commerce City,"Commerce City,CO",CO,39.8083196,-104.9338675,72244
CA0070400,Concord,"Concord,CA",CA,37.9768525,-122.0335624,123703
NC0130100,Concord,"Concord,NC",NC,35.4094178,-80.5800049,114348
TX1700100,Conroe,"Conroe,TX",TX,30.3118769,-95.4560512,121302
AR0230100,Conway,"Conway,AR",AR,35.0891932,-92.4398402,72394
MN0020500,Coon Rapids,"Coon Rapids,MN",MN,45.1728923,-93.3023898,63860
CA0331500,Corona,"Corona,CA",CA,33.8752945,-117.566444,162606
TX1780200,Corpus Christi,"Corpus Christi,TX",TX,27.7635302,-97.4033191,317071
OR0020100,Corvallis,"Corvallis,OR",OR,44.5645659,-123.2620435,62971
IA0780100,Council Bluffs,"Council Bluffs,IA",IA,41.258841,-95.8519484,62635
RI0040200,Cranston,"Cranston,RI",RI,41.779588,-71.4366813,84734
OH0770300,Cuyahoga Falls,"Cuyahoga Falls,OH",OH,41.1362729,-81.4828123,50961
TXDPD0000,Dallas,"Dallas,TX",TX,32.7762719,-96.7968559,1246336
CA0410600,Daly City,"Daly City,CA",CA,37.6904826,-122.47267,100564
CT0003400,Danbury,"Danbury,CT",CT,41.394817,-73.4540111,89355
IA0820200,Davenport,"Davenport,IA",IA,41.5224692,-90.5756401,100761
NC0290000,Davidson,"Davidson,NC",NC,,,123997
CA0570100,Davis,"Davis,CA",CA,38.5435526,-121.739005,67181
OH0570200,Dayton,"Dayton,OH",OH,39.7589478,-84.1916069,136047
MI8234300,Dearborn,"Dearborn,MI",MI,42.3222599,-83.1763145,105599
MI8234400,Dearborn Heights,"Dearborn Heights,MI",MI,42.3369816,-83.2732627,60548
IL0580200,Decatur,"Decatur,IL",IL,39.8454163,-88.9524151,68221
OH0210000,Delaware,"Delaware,OH",OH,,,108438
TX0610000,Denton,"Denton,TX",TX,33.1838787,-97.1413417,151930
TX0610200,Denton,"Denton,TX",TX,33.1838787,-97.1413417,172882
CODPD0000,Denver,"Denver,CO",CO,39.7392364,-104.984862,733212
IA0770300,Des Moines,"Des Moines,IA",IA,41.5868654,-93.6249494,212737
IL0162500,Des Plaines,"Des Plaines,IL",IL,42.0415823,-87.8873916,58435
TX0570800,Desoto,"Desoto,TX",TX,32.5897831,-96.857018299999993,56851
MI8234900,Detroit,"Detroit,MI",MI,42.3315509,-83.046640300000007,642155
CO0180000,Douglas,"Douglas,CO",CO,,,231244
NB0280000,Douglas,"Douglas,NE",NE,,,103800
UT0181200,Draper,"Draper,UT",UT,40.5247777,-111.8627989,46435
OH0250300,Dublin,"Dublin,OH",OH,40.0996009,-83.1135563,40725
IA0310100,Dubuque,"Dubuque,IA",IA,42.5006243,-90.6647985,58822
MN0690600,Duluth,"Duluth,MN",MN,46.7838287,-92.1052679,88307
GA0447100,Dunwoody,"Dunwoody,GA",GA,33.9463786,-84.3342686,51850
NC0320100,Durham,"Durham,NC",NC,35.996653,-78.9018053,306696
MN0190800,Eagan,"Eagan,MN",MN,44.818173,-93.1659179,66870
LA0170000,East Baton Rouge,"East Baton Rouge,LA",LA,,,172971
CT0004300,East Hartford,"East Hartford,CT",CT,41.767914,-72.644512,51190
WI0180100,Eau Claire,"Eau Claire,WI",WI,44.811349,-91.4984941,70653
MN0272600,Eden Prairie,"Eden Prairie,MN",MN,44.8546856,-93.470786,62593
MN0270600,Edina,"Edina,MN",MN,44.8897027,-93.3501222,53617
TX1080400,Edinburg,"Edinburg,TX",TX,26.3013982,-98.1624501,110822
OK0550300,Edmond,"Edmond,OK",OK,35.6571367,-97.4649038,100144
CA0370500,El Cajon,"El Cajon,CA",CA,32.7947731,-116.962526,102604
CA0090000,El Dorado,"El Dorado,CA",CA,,,161044
CA0192200,El Monte,"El Monte,CA",CA,34.0751571,-118.036849,103551
CO0210000,El Paso,"El Paso,CO",CO,,,210336
TX0710000,El Paso,"El Paso,TX",TX,31.7601001,-106.4870476,111217
TX0710200,El Paso,"El Paso,TX",TX,31.7601001,-106.4870476,682310
NJ0200400,Elizabeth,"Elizabeth,NJ",NJ,40.6639916,-74.2107006,141194
CA0340H00,Elk Grove,"Elk Grove,CA",CA,38.4087993,-121.3716178,184388
IN0200100,Elkhart,"Elkhart,IN",IN,41.6012796,-85.8590603,53640
OH0470400,Elyria,"Elyria,OH",OH,41.3673191,-82.1073583,53836
OK0240100,Enid,"Enid,OK",OK,36.3967623,-97.8791341,50360
PA0250200,Erie,"Erie,PA",PA,42.1294712,-80.0852695,92461
CA0370600,Escondido,"Escondido,CA",CA,33.1216751,-117.0814849,148303
OH0181800,Euclid,"Euclid,OH",OH,41.5931049,-81.5267873,48117
OR0200200,Eugene,"Eugene,OR",OR,44.0505054,-123.0950506,178886
TX2200900,Euless,"Euless,TX",TX,32.8370727,-97.0819541,59746
IL0163200,Evanston,"Evanston,IL",IL,42.0693991,-87.682932,75562
IN0820100,Evansville,"Evansville,IN",IN,37.970495,-87.5715641,114905
MA0091700,Everett,"Everett,MA",MA,42.4085897,-71.0542002,52437
WA0310300,Everett,"Everett,WA",WA,47.9793437,-122.2127011,113547
VA0290100,Fairfax,"Fairfax,VA",VA,,,1125193
CA0480300,Fairfield,"Fairfield,CA",CA,38.2493581,-122.039966,123346
CT0005100,Fairfield,"Fairfield,CT",CT,41.1412078,-73.2637258,66290
MA0030800,Fall River,"Fall River,MA",MA,41.7010642,-71.1546367,94628
ND0090200,Fargo,"Fargo,ND",ND,46.877229,-96.789821,138990
MI6338900,Farmington Hills,"Farmington Hills,MI",MI,42.4853125,-83.3771553,84262
AR0720100,Fayetteville,"Fayetteville,AR",AR,36.0625843,-94.1574328,105335
NC0260100,Fayetteville,"Fayetteville,NC",NC,35.0525759,-78.878292,209151
IN0290700,Fishers,"Fishers,IN",IN,39.9555928,-86.0138729,105143
AZ0030100,Flagstaff,"Flagstaff,AZ",AZ,35.1987522,-111.651822,77664
MO0953000,Florissant,"Florissant,MO",MO,38.7919683,-90.3227803,51002
TX0611200,Flower Mound,"Flower Mound,TX",TX,33.0283854,-97.0867203,80200
CA0340100,Folsom,"Folsom,CA",CA,38.6779591,-121.176058,89999
CA0360400,Fontana,"Fontana,CA",CA,34.0922947,-117.43433,220837
GA0580000,Forsyth,"Forsyth,GA",GA,,,276364
NC0340000,Forsyth,"Forsyth,NC",NC,,,114329
TX0790000,Fort Bend,"Fort Bend,TX",TX,,,637444
CO0350300,Fort Collins,"Fort Collins,CO",CO,40.5871782,-105.0770113,171159
AR0660100,Fort Smith,"Fort Smith,AR",AR,35.3880338,-94.4265011,90848
IN0020100,Fort Wayne,"Fort Wayne,IN",IN,41.0799898,-85.1386015,275451
TX2201200,Fort Worth,"Fort Worth,TX",TX,32.753177,-97.3327459,1009136
CA0300700,Fountain Valley,"Fountain Valley,CA",CA,33.7038145,-117.9627349,55805
MA0091800,Framingham,"Framingham,MA",MA,42.2773177,-71.4165905,73485
TN0940100,Franklin,"Franklin,TN",TN,35.925206,-86.8689419,90436
CA0010500,Fremont,"Fremont,CA",CA,37.5482697,-121.988571,227635
CA0100500,Fresno,"Fresno,CA",CA,36.7394421,-119.78483,551969
TX0430400,Frisco,"Frisco,TX",TX,33.1505998,-96.8238183,145026
CA0300800,Fullerton,"Fullerton,CA",CA,33.8708215,-117.929416,139237
TX0840400,Galveston,"Galveston,TX",TX,29.3872254,-94.992736,53510
CA0192400,Gardena,"Gardena,CA",CA,33.8815601,-118.2935879,58456
TX0571100,Garland,"Garland,TX",TX,32.912624,-96.6388833,251165
NC0360600,Gastonia,"Gastonia,NC",NC,35.2622654,-81.1838186,86826
TX2460200,Georgetown,"Georgetown,TX",TX,30.6370152,-97.6775634,111743
AZ0071100,Gilbert,"Gilbert,AZ",AZ,33.3527632,-111.789037,293851
CA0430400,Gilroy,"Gilroy,CA",CA,37.0065078,-121.5631723,60649
AZ0071300,Glendale,"Glendale,AZ",AZ,33.5386858,-112.185994,260498
CA0192500,Glendale,"Glendale,CA",CA,34.1469416,-118.2478471,185849
AZ0071500,Goodyear,"Goodyear,AZ",AZ,33.4672279,-112.3853489,123911
ND0180100,Grand Forks,"Grand Forks,ND",ND,47.9252104,-97.0306325,60024
NB0400100,Grand Island,"Grand Island,NE",NE,40.924271,-98.338685,53307
CO0390100,Grand Junction,"Grand Junction,CO",CO,39.0672568,-108.56448,71807
TX0571200,Grand Prairie,"Grand Prairie,TX",TX,32.7459645,-96.9977846,133275
MI4143600,Grand Rapids,"Grand Rapids,MI",MI,42.9632425,-85.6678639,200467
TX2201300,Grapevine,"Grapevine,TX",TX,32.9337381,-97.0788754,51460
MT0070100,Great Falls,"Great Falls,MT",MT,47.5048851,-111.29189,59904
CO0620200,Greeley,"Greeley,CO",CO,40.4233142,-104.7091322,115679
WI0050200,Green Bay,"Green Bay,WI",WI,44.5126379,-88.0125794,106069
OH0314400,Green Township,"Green Township,OH",OH,39.1648093,-84.6536214,60370
NC0410200,Greensboro,"Greensboro,NC",NC,36.0726355,-79.7919754,310328
NC0740300,Greenville,"Greenville,NC",NC,35.613224,-77.3724593,96214
SC0230000,Greenville,"Greenville,SC",SC,34.851354,-82.3984882,390870
SC0230200,Greenville,"Greenville,SC",SC,34.851354,-82.3984882,75127
CT0005700,Greenwich,"Greenwich,CT",CT,41.0264862,-73.6284598,64915
IN0410300,Greenwood,"Greenwood,IN",IN,39.6136987,-86.1095429,69268
OR0260100,Gresham,"Gresham,OR",OR,45.4978623,-122.4329883,110776
NC0410000,Guilford,"Guilford,NC",NC,,,132642
GA0690000,Hall,"Hall,GA",GA,,,152703
CT0006200,Hamden,"Hamden,CT",CT,41.383623299999996,-72.9020069,61706
OH0090200,Hamilton,"Hamilton,OH",OH,39.2085354,-84.5501874,64088
OH0310000,Hamilton,"Hamilton,OH",OH,39.2085354,-84.5501874,120595
TN0330000,Hamilton,"Hamilton,TN",TN,,,127498
NJ0011200,Hamilton Township,"Hamilton Township,NJ",NJ,40.2113211,-74.6858335,28970
IN0450700,Hammond,"Hammond,IN",IN,41.6173959,-87.5220108,75605
VA1110000,Hampton,"Hampton,VA",VA,37.0264414,-76.3442846,138041
VA0420000,Hanover,"Hanover,VA",VA,,,108941
TX0310300,Harlingen,"Harlingen,TX",TX,26.1907543,-97.6960599,72282
TX1010000,Harris,"Harris,TX",TX,,,2178104
PA0220200,Harrisburg,"Harrisburg,PA",PA,40.2663107,-76.8861122,50789
VA1120000,Harrisonburg,"Harrisonburg,VA",VA,38.4493315,-78.8688833,51165
CT0006400,Hartford,"Hartford,CT",CT,41.764582,-72.6908547,122548
PA0231400,Haverford,"Haverford,PA",PA,40.0129191,-75.2966948,51486
MA0051100,Haverhill,"Haverhill,MA",MA,42.7777829,-71.0767724,68267
TX1050000,Hays,"Hays,TX",TX,,,138997
CA0010600,Hayward,"Hayward,CA",CA,37.6688205,-122.080796,157399
NY0290600,Hempstead Village,"Hempstead Village,NY",NY,40.6818205,-73.6230681,59748
NV0020300,Henderson,"Henderson,NV",NV,36.0319602,-114.9822716,358366
TN0830400,Hendersonville,"Hendersonville,TN",TN,36.3049177,-86.621443,64413
VA0430100,Henrico,"Henrico,VA",VA,,,340544
GA0750500,Henry,"Henry,GA",GA,,,172380
TX1080000,Hidalgo,"Hidalgo,TX",TX,,,260330
NC0410300,High Point,"High Point,NC",NC,35.9556924,-80.0053176,111595
OR0340300,Hillsboro,"Hillsboro,OR",OR,45.5228939,-122.989827,111167
NJ0090500,Hoboken,"Hoboken,NJ",NJ,40.7433066,-74.0323752,58889
HI0020000,Honolulu,"Honolulu,HI",HI,21.304547,-157.855676,987000
SC0260400,Horry,"Horry,SC",SC,,,326262
TXHPD0000,Houston,"Houston,TX",TX,29.7589382,-95.3676974,2362928
MD0140100,Howard,"Howard,MD",MD,,,340315
NC0600600,Huntersville,"Huntersville,NC",NC,35.4108278,-80.8429304,68534
ID0100200,Idaho Falls,"Idaho Falls,ID",ID,43.4887907,-112.03628,70454
MO0480600,Independence,"Independence,MO",MO,39.0924792,-94.4137923,121329
INIPD0000,Indianapolis,"Indianapolis,IN",IN,39.7683331,-86.1583502,887131
IA0520200,Iowa City,"Iowa City,IA",IA,41.6612561,-91.5299106,77166
NC0490000,Iredell,"Iredell,NC",NC,,,120444
CA0302600,Irvine,"Irvine,CA",CA,33.6856969,-117.825981,321339
TX0571500,Irving,"Irving,TX",TX,32.8295183,-96.9442177,258220
TN0570100,Jackson,"Jackson,TN",TN,35.6144446,-88.8177418,69583
FL0160000,Jacksonville,"Jacksonville,FL",FL,30.3262247,-81.6579179,1008920
NC0670100,Jacksonville,"Jacksonville,NC",NC,34.7509962,-77.4309829,70256
WI0540200,Janesville,"Janesville,WI",WI,42.6829765,-89.0226793,66624
CO0300000,Jefferson,"Jefferson,CO",CO,,,197128
LA0260000,Jefferson,"Jefferson,LA",LA,,,327213
MO0500000,Jefferson,"Jefferson,MO",MO,,,168412
IN0100300,Jeffersonville,"Jeffersonville,IN",IN,38.2770227,-85.7371604,53783
NJ0090600,Jersey City,"Jersey City,NJ",NJ,40.7215682,-74.047455,305249
GA0605800,Johns Creek,"Johns Creek,GA",GA,34.0181557,-84.190196,80930
