date,city_id,crime_type,overdispersion_logit_se
2017-01-01,AL0011200,theft,0.100017181537629
2017-02-01,AL0011200,theft,0.1013359462965638
2017-03-01,AL0011200,theft,0.09967084160981095
2017-04-01,AL0011200,theft,0.09611123828064466
2017-05-01,AL0011200,theft,0.09433081180594063
2017-06-01,AL0011200,theft,0.09637211568418033
2017-07-01,AL0011200,theft,0.09305103719579837
2017-08-01,AL0011200,theft,0.09276064783778551
2017-09-01,AL0011200,theft,0.09463217994204397
2017-10-01,AL0011200,theft,0.09512933847637849
2017-11-01,AL0011200,theft,0.09332835261372653
2017-12-01,AL0011200,theft,0.09119879878648414
2018-01-01,AL0011200,theft,0.09337772091977108
2018-02-01,AL0011200,theft,0.09657711141172162
2018-03-01,AL0011200,theft,0.10314958968510662
2018-04-01,AL0011200,theft,0.09935061279595529
2018-05-01,AL0011200,theft,0.08858478952382842
2018-06-01,AL0011200,theft,0.08712688734134219
2018-07-01,AL0011200,theft,0.0926341170629621
2018-08-01,AL0011200,theft,0.08524135371264706
2018-09-01,AL0011200,theft,0.09483462891554668
2018-10-01,AL0011200,theft,0.07595416643503167
2018-11-01,AL0011200,theft,0.08057669307280924
2018-12-01,AL0011200,theft,0.07826088631823203
2019-01-01,AL0011200,theft,0.08003126985555165
2019-02-01,AL0011200,theft,0.08273121732456075
2019-03-01,AL0011200,theft,0.08125003768303705
2019-04-01,AL0011200,theft,0.0792548638894101
2019-05-01,AL0011200,theft,0.07939820250822727
2019-06-01,AL0011200,theft,0.08011069365574676
2019-07-01,AL0011200,theft,0.07605159193214303
2019-08-01,AL0011200,theft,0.07674439636452786
2019-09-01,AL0011200,theft,0.08069586716969779
2019-10-01,AL0011200,theft,0.0788028118678736
2019-11-01,AL0011200,theft,0.07708072154846753
2019-12-01,AL0011200,theft,0.07495994061594227
2020-01-01,AL0011200,theft,0.07793520111999915
2020-02-01,AL0011200,theft,0.08094098208699371
2020-03-01,AL0011200,theft,0.08451392216705786
2020-04-01,AL0011200,theft,0.09163981616535777
2020-05-01,AL0011200,theft,0.08856530815607956
2020-06-01,AL0011200,theft,0.08053423937336163
2020-07-01,AL0011200,theft,0.08317731258514252
2020-08-01,AL0011200,theft,0.07896555160470352
2020-09-01,AL0011200,theft,0.08139823483266968
2020-10-01,AL0011200,theft,0.08123748348157649
2020-11-01,AL0011200,theft,0.09495360660850541
2020-12-01,AL0011200,theft,0.0786556303933608
2021-01-01,AL0011200,theft,0.08186992536390149
2021-02-01,AL0011200,theft,0.08218408499002444
2021-03-01,AL0011200,theft,0.08295418044069146
2021-04-01,AL0011200,theft,0.08720498644688353
2021-05-01,AL0011200,theft,0.08263450171579238
2021-06-01,AL0011200,theft,0.08173677061482196
2021-07-01,AL0011200,theft,0.07970571025082636
2021-08-01,AL0011200,theft,0.08189336525851472
2021-09-01,AL0011200,theft,0.09226244241231109
2021-10-01,AL0011200,theft,0.08209539390443292
2021-11-01,AL0011200,theft,0.08186698353820152
2021-12-01,AL0011200,theft,0.08082653087510706
2022-01-01,AL0011200,theft,0.08524295885718892
2022-02-01,AL0011200,theft,0.08371989345342784
2022-03-01,AL0011200,theft,0.07960805994900137
2022-04-01,AL0011200,theft,0.08381669269723067
2022-05-01,AL0011200,theft,0.08394017908870109
2022-06-01,AL0011200,theft,0.08532272332921918
2022-07-01,AL0011200,theft,0.09146229967769129
2022-08-01,AL0011200,theft,0.08204221190963655
2022-09-01,AL0011200,theft,0.08494965202471516
2022-10-01,AL0011200,theft,0.08342816243722086
2022-11-01,AL0011200,theft,0.08455940699735924
2022-12-01,AL0011200,theft,0.08190267493722124
2023-01-01,AL0011200,theft,0.08350222142812216
2023-02-01,AL0011200,theft,0.09205138106459242
2023-03-01,AL0011200,theft,0.08698032647310769
2023-04-01,AL0011200,theft,0.08399214442228184
2023-05-01,AL0011200,theft,0.08440947863049429
2023-06-01,AL0011200,theft,0.0852456344730953
2023-07-01,AL0011200,theft,0.0848083278054674
