month,city_id,city_label,crime_type,global_season_centered,city_season_centered,city_season_se
1,AL0011200,"Hoover, AL",robbery,-0.014718746777558186,0.026726444574568527,0.052989971153865924
2,AL0011200,"Hoover, AL",robbery,-0.10674012224271302,-0.09344791327446836,0.05297988091265362
3,AL0011200,"Hoover, AL",robbery,-0.12944676536406494,-0.1618566538818209,0.05299143662305288
4,AL0011200,"Hoover, AL",robbery,-0.07056587126363142,-0.11516515999231636,0.0530597865885909
5,AL0011200,"Hoover, AL",robbery,-0.006666007958024384,-0.013393396649712553,0.05299143662305288
6,AL0011200,"Hoover, AL",robbery,0.022721889338011475,0.05820378314739405,0.05297988091265362
7,AL0011200,"Hoover, AL",robbery,0.04369013349377921,0.07700280767231124,0.05298997115386592
8,AL0011200,"Hoover, AL",robbery,0.06242505534559063,0.057984143245827145,0.052979880912653626
9,AL0011200,"Hoover, AL",robbery,0.05616031175072153,0.02266363160629997,0.05299143662305289
10,AL0011200,"Hoover, AL",robbery,0.041594484547410396,0.011435907745436581,0.0530597865885909
11,AL0011200,"Hoover, AL",robbery,0.05098107485514673,0.048857166678353735,0.05299143662305288
12,AL0011200,"Hoover, AL",robbery,0.05056456427533197,0.08098923912812694,0.05297988091265362
1,AR0040100,"Bentonville, AR",robbery,-0.014718746777558186,-0.00879567036317388,0.054432085176889765
2,AR0040100,"Bentonville, AR",robbery,-0.10674012224271302,-0.10097481976459323,0.054442780078455044
3,AR0040100,"Bentonville, AR",robbery,-0.12944676536406494,-0.13208374752725074,0.054443045051241194
4,AR0040100,"Bentonville, AR",robbery,-0.07056587126363142,-0.08591861474282583,0.05444540002068527
5,AR0040100,"Bentonville, AR",robbery,-0.006666007958024384,-0.02239419464716272,0.0544430450512412
6,AR0040100,"Bentonville, AR",robbery,0.022721889338011475,0.017578086628552654,0.054442780078455044
7,AR0040100,"Bentonville, AR",robbery,0.04369013349377921,0.04248098768158644,0.05443208517688975
8,AR0040100,"Bentonville, AR",robbery,0.06242505534559063,0.05720222347940496,0.054442780078455044
9,AR0040100,"Bentonville, AR",robbery,0.05616031175072153,0.054625833923649926,0.0544430450512412
10,AR0040100,"Bentonville, AR",robbery,0.041594484547410396,0.05223329742441327,0.05444540002068527
11,AR0040100,"Bentonville, AR",robbery,0.05098107485514673,0.06616679093235095,0.054443045051241194
12,AR0040100,"Bentonville, AR",robbery,0.05056456427533197,0.05987982697504822,0.05444278007845504
1,AR0230100,"Conway, AR",robbery,-0.014718746777558186,-0.0244467799855062,0.05116653828689454
2,AR0230100,"Conway, AR",robbery,-0.10674012224271302,-0.09769685399389483,0.05121908879281874
3,AR0230100,"Conway, AR",robbery,-0.12944676536406494,-0.10579532695926097,0.05121486933232225
4,AR0230100,"Conway, AR",robbery,-0.07056587126363142,-0.06080347823257655,0.05121009904789436
5,AR0230100,"Conway, AR",robbery,-0.006666007958024384,-0.021110496462784508,0.05121486933232225
6,AR0230100,"Conway, AR",robbery,0.022721889338011475,0.003365335009528566,0.05121908879281874
7,AR0230100,"Conway, AR",robbery,0.04369013349377921,0.035016697957938284,0.05116653828689453
8,AR0230100,"Conway, AR",robbery,0.06242505534559063,0.060776357677433696,0.05121908879281874
9,AR0230100,"Conway, AR",robbery,0.05616031175072153,0.05830491267036777,0.051214869332322256
10,AR0230100,"Conway, AR",robbery,0.041594484547410396,0.05023356026014446,0.05121009904789436
11,AR0230100,"Conway, AR",robbery,0.05098107485514673,0.05803099277924559,0.05121486933232225
12,AR0230100,"Conway, AR",robbery,0.05056456427533197,0.044125079279364696,0.05121908879281874
1,AR0600200,"Little Rock, AR",robbery,-0.014718746777558186,-0.04164521519869101,0.03679224445078976
2,AR0600200,"Little Rock, AR",robbery,-0.10674012224271302,-0.18171478853173245,0.03687179200412182
3,AR0600200,"Little Rock, AR",robbery,-0.12944676536406494,-0.1942847637292608,0.036891461224325024
4,AR0600200,"Little Rock, AR",robbery,-0.07056587126363142,-0.07963611774516499,0.03688417816500608
5,AR0600200,"Little Rock, AR",robbery,-0.006666007958024384,0.022928292993380662,0.03689146122432503
6,AR0600200,"Little Rock, AR",robbery,0.022721889338011475,0.04392496233702135,0.03687179200412182
7,AR0600200,"Little Rock, AR",robbery,0.04369013349377921,0.04092409540187303,0.036792244450789754
8,AR0600200,"Little Rock, AR",robbery,0.06242505534559063,0.05699517534439687,0.03687179200412182
9,AR0600200,"Little Rock, AR",robbery,0.05616031175072153,0.07028627033874316,0.03689146122432503
10,AR0600200,"Little Rock, AR",robbery,0.041594484547410396,0.08035723754198296,0.03688417816500608
11,AR0600200,"Little Rock, AR",robbery,0.05098107485514673,0.10179132019395488,0.036891461224325024
12,AR0600200,"Little Rock, AR",robbery,0.05056456427533197,0.08007353105349632,0.03687179200412182
1,AR0600300,"North Little Rock, AR",robbery,-0.014718746777558186,-0.0032849322508946067,0.046446645365141245
2,AR0600300,"North Little Rock, AR",robbery,-0.10674012224271302,-0.1259090925906607,0.04656295960150609
