date,city_id,city_label,crime_type,global_trend_centered,city_trend_se,city_trend_centered
2017-01-01,AL0011200,"Hoover, AL",rape,0.017667782513941077,0.1256907947084156,0.09208023093136042
2017-02-01,AL0011200,"Hoover, AL",rape,0.0189797579541775,0.11811574115289782,0.10338630661160231
2017-03-01,AL0011200,"Hoover, AL",rape,0.020155719136518258,0.11258318752294176,0.1135402845239657
2017-04-01,AL0011200,"Hoover, AL",rape,0.021437639325958102,0.10812181534302631,0.12465384551526348
2017-05-01,AL0011200,"Hoover, AL",rape,0.02264824694441714,0.10561437802999558,0.1352169980005602
2017-06-01,AL0011200,"Hoover, AL",rape,0.02385766096385389,0.10493888802224909,0.14586613090044587
2017-07-01,AL0011200,"Hoover, AL",rape,0.024977719402263787,0.10605699183667379,0.15584928332688364
2017-08-01,AL0011200,"Hoover, AL",rape,0.026072504619603976,0.10883870074450037,0.16576417752987638
2017-09-01,AL0011200,"Hoover, AL",rape,0.027092893186006606,0.11298268110304054,0.17520253443126954
2017-10-01,AL0011200,"Hoover, AL",rape,0.02799928382359873,0.11797987593172685,0.18381706776050422
2017-11-01,AL0011200,"Hoover, AL",rape,0.02884151437228155,0.12384654160871521,0.1921142584944331
2017-12-01,AL0011200,"Hoover, AL",rape,0.02955511210622852,0.1299263054413547,0.19949388394927325
2018-01-01,AL0011200,"Hoover, AL",rape,0.03017706200509629,0.13637023954925723,0.20638009791025347
2018-02-01,AL0011200,"Hoover, AL",rape,0.03067092333041721,0.14275765698395795,0.21244585849819764
2018-03-01,AL0011200,"Hoover, AL",rape,0.03099784787019999,0.14832093016630565,0.2171614514092699
2018-04-01,AL0011200,"Hoover, AL",rape,0.031217872466037022,0.15410486307668111,0.2214731892757147
2018-05-01,AL0011200,"Hoover, AL",rape,0.031278881804738035,0.15920310227330411,0.22467275139426768
2018-06-01,AL0011200,"Hoover, AL",rape,0.03117435497294707,0.16384368778517822,0.22690562066107134
2018-07-01,AL0011200,"Hoover, AL",rape,0.03090090036615578,0.16763709153050482,0.22796282093860754
2018-08-01,AL0011200,"Hoover, AL",rape,0.03042969947464158,0.1707579841984183,0.22784701100028215
2018-09-01,AL0011200,"Hoover, AL",rape,0.029756013358641198,0.17300295599138388,0.22643421038732114
2018-10-01,AL0011200,"Hoover, AL",rape,0.02890101950150914,0.17429586575510272,0.22376644265029277
2018-11-01,AL0011200,"Hoover, AL",rape,0.027797130110165824,0.17469312930555173,0.2195980353616367
2018-12-01,AL0011200,"Hoover, AL",rape,0.02651143966266467,0.1741790043221245,0.21416387265593073
2019-01-01,AL0011200,"Hoover, AL",rape,0.024979746642907585,0.17282983947778516,0.20719872775113224
2019-02-01,AL0011200,"Hoover, AL",rape,0.0232701821306609,0.1707931759603672,0.1989948772287029
2019-03-01,AL0011200,"Hoover, AL",rape,0.021597227117378992,0.1684893487383449,0.19063230902506056
2019-04-01,AL0011200,"Hoover, AL",rape,0.01962902036940939,0.16556957292439783,0.18044310535686137
