date,city_id,crime_type,overdispersion_logit_se
2017-01-01,AL0011200,property,0.09207671751566673
2017-02-01,AL0011200,property,0.09388606612329353
2017-03-01,AL0011200,property,0.09247598330224202
2017-04-01,AL0011200,property,0.09044163440716348
2017-05-01,AL0011200,property,0.0872058959117459
2017-06-01,AL0011200,property,0.08854403201841252
2017-07-01,AL0011200,property,0.0852816314224951
2017-08-01,AL0011200,property,0.08604415452853585
2017-09-01,AL0011200,property,0.08748366088594887
2017-10-01,AL0011200,property,0.08630421135818822
2017-11-01,AL0011200,property,0.08604554588172972
2017-12-01,AL0011200,property,0.08417410020261996
2018-01-01,AL0011200,property,0.08481879211005995
2018-02-01,AL0011200,property,0.09047019376681588
2018-03-01,AL0011200,property,0.09878551414469945
2018-04-01,AL0011200,property,0.09528250354067631
2018-05-01,AL0011200,property,0.08274213315240007
2018-06-01,AL0011200,property,0.08127538398774224
2018-07-01,AL0011200,property,0.08769837321016921
2018-08-01,AL0011200,property,0.07948847991926253
2018-09-01,AL0011200,property,0.08981017544075355
2018-10-01,AL0011200,property,0.07214447291759449
2018-11-01,AL0011200,property,0.076024479699961
2018-12-01,AL0011200,property,0.07447770682679114
2019-01-01,AL0011200,property,0.07595014257297861
2019-02-01,AL0011200,property,0.07758329110319227
2019-03-01,AL0011200,property,0.0776063444929791
2019-04-01,AL0011200,property,0.07569363911906055
2019-05-01,AL0011200,property,0.07550563877461072
2019-06-01,AL0011200,property,0.07645848665051765
2019-07-01,AL0011200,property,0.07269178901008111
2019-08-01,AL0011200,property,0.07346474291053019
2019-09-01,AL0011200,property,0.07711325020763256
2019-10-01,AL0011200,property,0.07548361090258644
2019-11-01,AL0011200,property,0.07404286246231359
2019-12-01,AL0011200,property,0.07076211246755039
2020-01-01,AL0011200,property,0.07453720955384747
2020-02-01,AL0011200,property,0.07715579484310031
2020-03-01,AL0011200,property,0.08027966716585275
2020-04-01,AL0011200,property,0.08722769538341718
2020-05-01,AL0011200,property,0.08407594165067885
2020-06-01,AL0011200,property,0.07657159446831509
2020-07-01,AL0011200,property,0.078391506346583
2020-08-01,AL0011200,property,0.07593282545608669
2020-09-01,AL0011200,property,0.07713787134184016
2020-10-01,AL0011200,property,0.07750493446705407
2020-11-01,AL0011200,property,0.0908402980841645
2020-12-01,AL0011200,property,0.07346035012091831
2021-01-01,AL0011200,property,0.07770481175581807
2021-02-01,AL0011200,property,0.0778189929099553
2021-03-01,AL0011200,property,0.07880450117800153
2021-04-01,AL0011200,property,0.08296519778084652
2021-05-01,AL0011200,property,0.078387961637596
2021-06-01,AL0011200,property,0.07722485992205921
2021-07-01,AL0011200,property,0.07475009525358331
2021-08-01,AL0011200,property,0.07686179201656579
2021-09-01,AL0011200,property,0.08856420789429238
2021-10-01,AL0011200,property,0.07417566379934415
2021-11-01,AL0011200,property,0.0775672667965363
2021-12-01,AL0011200,property,0.07715444910678874
2022-01-01,AL0011200,property,0.08051248531964046
2022-02-01,AL0011200,property,0.07992855694568654
2022-03-01,AL0011200,property,0.07569983188166035
2022-04-01,AL0011200,property,0.08012614296523492
