date,city_id,city_label,crime_type,global_trend_centered,city_trend_se,city_trend_centered
2017-01-01,AL0010200,"Birmingham, AL",murder,0.08690138177098738,0.07325409466768694,0.028061784290693836
2017-02-01,AL0010200,"Birmingham, AL",murder,0.06813138895962112,0.06772483781214184,0.013084549295315995
2017-03-01,AL0010200,"Birmingham, AL",murder,0.0512601995182127,0.06349181311427286,-3.8523404009893625e-4
2017-04-01,AL0010200,"Birmingham, AL",murder,0.03276373449626391,0.059828235308095536,-0.015169687270539356
2017-05-01,AL0010200,"Birmingham, AL",murder,0.015136593356411154,0.057459480882919904,-0.029285049883995384
2017-06-01,AL0010200,"Birmingham, AL",murder,-0.002700005190503063,0.056325087247921936,-0.04360443072105902
2017-07-01,AL0010200,"Birmingham, AL",murder,-0.019503073451396347,0.05649519546437512,-0.057138988640481614
2017-08-01,AL0010200,"Birmingham, AL",murder,-0.03629645452349628,0.05786952618867527,-0.07072311216992055
2017-09-01,AL0010200,"Birmingham, AL",murder,-0.05241276417109475,0.06026325211404319,-0.08383003729666072
2017-10-01,AL0010200,"Birmingham, AL",murder,-0.06727127766443353,0.06332196807414278,-0.09599407743102084
2017-11-01,AL0010200,"Birmingham, AL",murder,-0.08176620111623478,0.06701217027426622,-0.10795825324832009
2017-12-01,AL0010200,"Birmingham, AL",murder,-0.09487013877503614,0.07088986537187263,-0.1188856723182603
2018-01-01,AL0010200,"Birmingham, AL",murder,-0.1073603250312587,0.07502967836748876,-0.12943691391186896
2018-02-01,AL0010200,"Birmingham, AL",murder,-0.11868479869341364,0.07914945850788652,-0.13916656391592852
2018-03-01,AL0010200,"Birmingham, AL",murder,-0.12782904825530572,0.08274566918021617,-0.1471904175682699
2018-04-01,AL0010200,"Birmingham, AL",murder,-0.1366613798361076,0.08649049096523098,-0.15516361149179936
2018-05-01,AL0010200,"Birmingham, AL",murder,-0.14382622011868662,0.08979657619705243,-0.16190516821569467
2018-06-01,AL0010200,"Birmingham, AL",murder,-0.14970486366838287,0.09281163929160682,-0.16779660952124686
2018-07-01,AL0010200,"Birmingham, AL",murder,-0.15382580375967692,0.09528273986506904,-0.17239283230149738
2018-08-01,AL0010200,"Birmingham, AL",murder,-0.15636740827848783,0.09732357385489825,-0.1759323360748244
2018-09-01,AL0010200,"Birmingham, AL",murder,-0.15706622877873144,0.09880083715845127,-0.1781730498559071
2018-10-01,AL0010200,"Birmingham, AL",murder,-0.1558946778281438,0.0996620843020415,-0.17903913696643592
2018-11-01,AL0010200,"Birmingham, AL",murder,-0.15267829057651916,0.09994166899390261,-0.17852042121347722
2018-12-01,AL0010200,"Birmingham, AL",murder,-0.14757155630603513,0.09962231810359215,-0.176609915630209
2019-01-01,AL0010200,"Birmingham, AL",murder,-0.14034709994042238,0.0987459934861259,-0.17324347644569116
2019-02-01,AL0010200,"Birmingham, AL",murder,-0.13130213071482544,0.09739849872262664,-0.16855376347221984
2019-03-01,AL0010200,"Birmingham, AL",murder,-0.12170132951457369,0.09585114972369779,-0.16325770044716315
2019-04-01,AL0010200,"Birmingham, AL",murder,-0.10963531607870003,0.0938589211749467,-0.15630587575866706
2019-05-01,AL0010200,"Birmingham, AL",murder,-0.09666755903822022,0.09174034133691135,-0.1485739377979698
2019-06-01,AL0010200,"Birmingham, AL",murder,-0.08208988912720905,0.08945090012884638,-0.13963674345283472
2019-07-01,AL0010200,"Birmingham, AL",murder,-0.06699246095611677,0.08723128019738076,-0.13015734173166038
2019-08-01,AL0010200,"Birmingham, AL",murder,-0.05052512718364355,0.08502856988133042,-0.11959409193818082
2019-09-01,AL0010200,"Birmingham, AL",murder,-0.03333583885730995,0.08300930370100497,-0.10834218619420888
2019-10-01,AL0010200,"Birmingham, AL",murder,-0.016164951197501054,0.081307198253276175,-0.09688495885038684
2019-11-01,AL0010200,"Birmingham, AL",murder,0.001975913769664217,0.07987414749675492,-0.0845489141689395
2019-12-01,AL0010200,"Birmingham, AL",murder,0.019766717881726237,0.07884675011737104,-0.0722163818251218
2020-01-01,AL0010200,"Birmingham, AL",murder,0.03823716687604595,0.07817941792478317,-0.059155512414497124
2020-02-01,AL0010200,"Birmingham, AL",murder,0.05663674296745036,0.0779100568966571,-0.04586398954999993
2020-03-01,AL0010200,"Birmingham, AL",murder,0.07364278843991379,0.07799292089651289,-0.033303376008811725
2020-04-01,AL0010200,"Birmingham, AL",murder,0.09144885152145399,0.0783899249124223,-0.019829046504900916
2020-05-01,AL0010200,"Birmingham, AL",murder,0.10816571030835398,0.0790119864173991,-0.006828177392074863
