date,city_id,crime_type,overdispersion_logit_se
2017-01-01,AL0010200,murder,0.15687015818200167
2017-02-01,AL0010200,murder,0.15577329806532694
2017-03-01,AL0010200,murder,0.1563279934276446
2017-04-01,AL0010200,murder,0.15782009832827473
2017-05-01,AL0010200,murder,0.15567484464686995
2017-06-01,AL0010200,murder,0.15557704771962977
2017-07-01,AL0010200,murder,0.15263383814641035
2017-08-01,AL0010200,murder,0.15519940944295496
2017-09-01,AL0010200,murder,0.15609758088112843
2017-10-01,AL0010200,murder,0.15582769849846811
2017-11-01,AL0010200,murder,0.15458654282463674
2017-12-01,AL0010200,murder,0.1555581678622794
2018-01-01,AL0010200,murder,0.1573282219108582
2018-02-01,AL0010200,murder,0.1579373537771779
2018-03-01,AL0010200,murder,0.15667311519287372
2018-04-01,AL0010200,murder,0.15796611721628476
2018-05-01,AL0010200,murder,0.15770178532246612
2018-06-01,AL0010200,murder,0.1547636374615984
2018-07-01,AL0010200,murder,0.1543823425402137
2018-08-01,AL0010200,murder,0.15480358436524858
2018-09-01,AL0010200,murder,0.15759349425365513
2018-10-01,AL0010200,murder,0.15850549857916085
2018-11-01,AL0010200,murder,0.15815849123433232
2018-12-01,AL0010200,murder,0.156602364365944
2019-01-01,AL0010200,murder,0.15748191864007954
2019-02-01,AL0010200,murder,0.15904614899043876
2019-03-01,AL0010200,murder,0.15751929260150782
2019-04-01,AL0010200,murder,0.15799452471656475
2019-05-01,AL0010200,murder,0.15561427769888775
2019-06-01,AL0010200,murder,0.1552876313732187
2019-07-01,AL0010200,murder,0.153588806809623
2019-08-01,AL0010200,murder,0.1544439320618551
2019-09-01,AL0010200,murder,0.15783924495665985
2019-10-01,AL0010200,murder,0.15768184104114047
2019-11-01,AL0010200,murder,0.15739409343485994
2019-12-01,AL0010200,murder,0.15527216666175614
2020-01-01,AL0010200,murder,0.1563132174342307
2020-02-01,AL0010200,murder,0.15866132896814084
2020-03-01,AL0010200,murder,0.156727278779075
2020-04-01,AL0010200,murder,0.15498346665627807
2020-05-01,AL0010200,murder,0.15545278498120885
2020-06-01,AL0010200,murder,0.15424898950104246
2020-07-01,AL0010200,murder,0.1502987381943077
2020-08-01,AL0010200,murder,0.15306431354188849
2020-09-01,AL0010200,murder,0.15366338160216514
2020-10-01,AL0010200,murder,0.1532948035987589
2020-11-01,AL0010200,murder,0.1535324686914881
2020-12-01,AL0010200,murder,0.15256958871846588
2021-01-01,AL0010200,murder,0.15503336844418927
2021-02-01,AL0010200,murder,0.1562694738556756
2021-03-01,AL0010200,murder,0.15618636023181176
2021-04-01,AL0010200,murder,0.15312392531518357
2021-05-01,AL0010200,murder,0.151881687850973
2021-06-01,AL0010200,murder,0.1512803519295454
2021-07-01,AL0010200,murder,0.1521735238427617
2021-08-01,AL0010200,murder,0.1515222823191482
2021-09-01,AL0010200,murder,0.15223774513186838
2021-10-01,AL0010200,murder,0.15261089113629903
2021-11-01,AL0010200,murder,0.1520991920772619
2021-12-01,AL0010200,murder,0.14977755928711198
2022-01-01,AL0010200,murder,0.15292427226154479
2022-02-01,AL0010200,murder,0.15378655128272017
2022-03-01,AL0010200,murder,0.15409555835162925
2022-04-01,AL0010200,murder,0.15134954532263664
2022-05-01,AL0010200,murder,0.15171717527117431
2022-06-01,AL0010200,murder,0.15053738810434877
2022-07-01,AL0010200,murder,0.1474762891551305
2022-08-01,AL0010200,murder,0.14928478665854866
2022-09-01,AL0010200,murder,0.15111326734874572
2022-10-01,AL0010200,murder,0.15171684158203963
2022-11-01,AL0010200,murder,0.15368234178283982
2022-12-01,AL0010200,murder,0.15172494462660938
2023-01-01,AL0010200,murder,0.15187653937685583
2023-02-01,AL0010200,murder,0.15672325232352805
2023-03-01,AL0010200,murder,0.15201894978666128
2023-04-01,AL0010200,murder,0.15182100578893096
