date,crime_type,trend_rate,global_rate,city_fitted_rate,seasonal_rate_delta,time_effect_logit,time_effect_rate_delta,global_time_rate,count,population,observed_rate,observed_minus_global_rate,global_residual_rate,remainder_rate
2017-01-01,murder,3.353810156595567,3.166705952945922,7.620637439563041,-0.18710420364964417,0.022441441013259383,0.07186865497573362,3.2385746079216564,813,122437923,7.968119485332987,4.801413532387064,0.07186865497573362,0.07186865497573362
2017-02-01,murder,3.291446450807426,2.8908403165466603,6.954169600209879,-0.40060613426076563,-0.04857156965953322,-0.13705685208118848,2.753783464465472,646,122437923,6.331371694372829,3.440531377826169,-0.13705685208118848,-0.13705685208118848
2017-03-01,murder,3.2363817931883885,2.835198591730473,6.859692161864699,-0.4011832014579154,-0.01126204812561913,-0.03175094247907919,2.803447649251394,685,122437923,6.713606208429393,3.87840761669892,-0.03175094247907919,-0.03175094247907919
2017-04-01,murder,3.1770705441841094,3.030884835230445,7.413837024120634,-0.14618570895366387,-0.022702714656366228,-0.06803394396115625,2.962850891269289,729,122289620,7.1535098400011385,4.122625004770693,-0.06803394396115625,-0.06803394396115625
2017-05-01,murder,3.1215587137400616,3.2814948303729503,8.10526725096107,0.15993611663288837,-0.0021670360205943142,-0.0071033986547944,3.2743914317181555,816,122437923,7.997522140260417,4.716027309887466,-0.0071033986547944,-0.0071033986547944
2017-06-01,murder,3.066374478929791,3.3957256913317226,8.435149994997628,0.32935121240193177,-0.03497527904996233,-0.11671319344164177,3.279012497890081,820,122437923,8.036725680163652,4.640999988831929,-0.11671319344164177,-0.11671319344164177
2017-07-01,murder,3.015280578003749,3.379367730214208,8.390687562932106,0.3640871522104589,0.021622916706659032,0.07386731200466724,3.4532350422188753,893,122437923,8.752190283397734,5.372822553183527,0.07386731200466724,0.07386731200466724
2017-08-01,murder,2.965066757316837,3.2534156752269614,8.064749751506453,0.2883489179101248,-0.0504708826612804,-0.1601274606353209,3.0932882145916407,750,122437923,7.350663731857001,4.09724805663004,-0.1601274606353209,-0.1601274606353209
2017-09-01,murder,2.917663944706351,3.033031599638337,7.527925090650331,0.115367654931986,-0.02352199370177252,-0.07051025221323251,2.9625213474251044,742,122437923,7.272256652050525,4.239225052412188,-0.07051025221323251,-0.07051025221323251
2017-10-01,murder,2.8746323836482284,2.847493560036172,7.083661676477795,-0.027138823612056894,0.07664826816452334,0.22683718552099771,3.0743307455571696,852,122437923,8.350353999389553,5.50286043935338,0.22683718552099771,0.22683718552099771
